Index,Time,((((((aruwsrc::motor_tester::DriversSingleton::drivers).fusedImu).imuData).accG).coordinates_).data)._M_elems[0],((((((aruwsrc::motor_tester::DriversSingleton::drivers).fusedImu).imuData).accG).coordinates_).data)._M_elems[1],((((((aruwsrc::motor_tester::DriversSingleton::drivers).fusedImu).imuData).accG).coordinates_).data)._M_elems[2],((((((aruwsrc::motor_tester::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[0],((((((aruwsrc::motor_tester::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[1],((((((aruwsrc::motor_tester::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[2],((((((aruwsrc::motor_tester::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[0],((((((aruwsrc::motor_tester::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[1],((((((aruwsrc::motor_tester::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[2],((((((aruwsrc::motor_tester::DriversSingleton::drivers).fusedImu).imuData).gyroRadPerSec).coordinates_).data)._M_elems[0],((((((aruwsrc::motor_tester::DriversSingleton::drivers).fusedImu).imuData).gyroRadPerSec).coordinates_).data)._M_elems[1],((((((aruwsrc::motor_tester::DriversSingleton::drivers).fusedImu).imuData).gyroRadPerSec).coordinates_).data)._M_elems[2]
5279,52.789989,-0.164832994,-0.0661189705,9.97873974,-0.17962648,-0.0958007872,9.99202156,0.0191747602,0.0181094967,-0.00426105782,0.0227599666,0.0155935427,-0.00452461932
5280,52.799999,-0.165464923,-0.0655859783,9.96261311,-0.177231446,-0.0407153331,9.9297514,0.0202400237,0.0170442313,-0.00319579337,0.0229491405,0.0158564746,-0.00523304101
5281,52.810010,-0.165872112,-0.0607088432,9.95918274,-0.172441408,-0.0646655336,9.96328163,0.0202400237,0.0191747602,-0.00426105782,0.0223127268,0.0161820445,-0.00485851709
5282,52.820004,-0.166056409,-0.0688585863,9.97188187,-0.138911143,-0.0742456093,9.92017174,0.023435818,0.0159789659,-0.00426105782,0.0222722478,0.0160422586,-0.00555632357
5283,52.830003,-0.15896748,-0.073094219,9.97428799,-0.141306162,-0.0550854504,9.98723221,0.0223705545,0.0181094967,-0.00532632228,0.0224548765,0.0166978277,-0.00501045864
5284,52.839984,-0.159406573,-0.0638703033,9.99149418,-0.174836427,-0.0670605525,10.0447121,0.0213052891,0.0149137024,-0.00213052891,0.0219795257,0.0159362108,-0.00430792104
5285,52.850007,-0.16437307,-0.0652909651,9.98963833,-0.172441408,-0.0479003936,10.0279474,0.0213052891,0.0170442313,-0.00319579337,0.0222497527,0.0155885443,-0.00452271802
5286,52.860009,-0.167062923,-0.0574603602,9.99748135,-0.141306162,-0.086220704,9.95849133,0.023435818,0.0170442313,-0.00426105782,0.0222496875,0.0159006733,-0.00435619196
5287,52.869999,-0.159529343,-0.0640457645,9.99988079,-0.162861332,-0.088615723,10.0207624,0.0191747602,0.0149137024,-0.00106526446,0.0215787403,0.0161325913,-0.00312585966
5288,52.879981,-0.164239213,-0.068265073,9.99894524,-0.148491219,-0.043110352,9.91777611,0.0213052891,0.0159789659,-0.00532632228,0.0209198445,0.015956495,-0.00359752006
