Index,Time,((((((aruwsrc::motor_tester::DriversSingleton::drivers).fusedImu).imuData).accG).coordinates_).data)._M_elems[0],((((((aruwsrc::motor_tester::DriversSingleton::drivers).fusedImu).imuData).accG).coordinates_).data)._M_elems[1],((((((aruwsrc::motor_tester::DriversSingleton::drivers).fusedImu).imuData).accG).coordinates_).data)._M_elems[2],((((((aruwsrc::motor_tester::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[0],((((((aruwsrc::motor_tester::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[1],((((((aruwsrc::motor_tester::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[2],((((((aruwsrc::motor_tester::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[0],((((((aruwsrc::motor_tester::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[1],((((((aruwsrc::motor_tester::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[2],((((((aruwsrc::motor_tester::DriversSingleton::drivers).fusedImu).imuData).gyroRadPerSec).coordinates_).data)._M_elems[0],((((((aruwsrc::motor_tester::DriversSingleton::drivers).fusedImu).imuData).gyroRadPerSec).coordinates_).data)._M_elems[1],((((((aruwsrc::motor_tester::DriversSingleton::drivers).fusedImu).imuData).gyroRadPerSec).coordinates_).data)._M_elems[2]
2258,22.579974,-0.0158218071,-0.00972348824,9.80953598,-0.011476934,-0.0205636173,9.79440212,-0.000397344818,-5.21987458e-05,-0.000804274518,-0.000549679506,-7.10845852e-05,-0.00095881219
2259,22.590003,-0.0162656829,-0.00590214645,9.79445171,-0.00668689422,0.00578159932,9.82074642,0.00173318409,0.0031435946,0.00132625434,-0.000271517347,0.000721284654,-0.000599767664
2260,22.600004,-0.00903424621,-0.00315505103,9.80317307,-0.0378221497,-0.0109835379,9.77763653,-0.000397344818,0.00101306569,-0.000804274518,-0.000269444485,0.00040161956,-0.000438030285
2261,22.610000,-0.010641275,-0.00287113874,9.80804253,-0.0186619926,0.012966658,9.80637646,-0.00359313819,0.00207833014,-0.00293480349,-0.000851607649,0.000927870395,-0.000428219384
2262,22.619982,-0.0147333685,-0.0143287145,9.80178452,-0.052192267,-0.0253536552,9.84709167,-0.00252787373,0.00101306569,0.00239151879,-0.000993884867,0.000648173853,-0.000502081471
2263,22.629995,-0.0187846106,-0.0179644898,9.80709743,0.029238401,-0.0205636173,9.77763653,-0.000397344818,-0.00111746322,-0.000804274518,-0.000558929634,0.00106073671,-0.000407073763
2264,22.639997,-0.00947525725,-0.014797356,9.8136282,-0.00908191409,-0.0014034597,9.82553673,-0.000397344818,-0.00111746322,0.00132625434,-0.000568936754,0.000504430151,-0.000175681722
2265,22.649998,-0.0130271204,-0.0186522994,9.79665852,0.00528820371,-0.0133785577,9.80398178,-0.00146260927,-5.21987458e-05,-0.000804274518,-0.000330120092,-0.000618356513,0.000619819271
2266,22.659997,-0.00576143805,-0.0138865542,9.79713058,0.0268433802,0.00338657945,9.73692131,0.000667919638,0.00207833014,0.000260989909,-0.000443945144,-0.000331517542,0.00034219501
2267,22.669977,-0.00698670745,-0.00983943138,9.7864027,0.0148682827,-0.0133785577,9.74171162,-0.00252787373,-5.21987458e-05,0.000260989909,-0.000230198799,0.000160522293,0.000103363855
2268,22.679994,-0.00720846932,-0.0156909451,9.80005836,0.0244483612,-0.00619349908,9.79440212,0.000667919638,-5.21987458e-05,-0.00186953903,-5.29536919e-07,0.000342310988,-0.00018939827
2269,22.689994,-0.00620601792,-0.0121333385,9.79361343,-0.00908191409,-0.0181685966,9.81116676,-0.000397344818,0.00101306569,-0.000804274518,-0.000471376727,0.000303424837,-0.000672558905
2270,22.699998,-0.00442943256,-0.00094576925,9.79791737,-0.030637091,0.0105716381,9.81835175,-0.000397344818,0.00207833014,0.00132625434,9.73302813e-05,0.000874591467,-0.000598916784
2271,22.709995,-0.00990475342,-0.00607440621,9.809659,-0.00908191409,-0.0014034597,9.8279314,-0.000397344818,-0.00111746322,0.00132625434,-0.000477412657,-6.57460769e-05,-0.000292681943
2272,22.719994,-0.015627509,-0.013024658,9.80436993,-0.00668689422,-0.00858851895,9.81835175,0.000667919638,-5.21987458e-05,0.00132625434,-0.00029647231,0.000305231952,-0.000601539214
2273,22.729995,-0.0121713579,-0.00677815359,9.8087883,0.0388184786,-0.0253536552,9.84948635,-0.00146260927,0.00207833014,0.000260989909,-9.31746908e-05,0.000124142767,-0.000209094462
2274,22.739999,-0.0095845405,-0.0116751418,9.82986832,0.010078243,-0.0205636173,9.7488966,-0.000397344818,-0.00111746322,0.000260989909,-0.000524735369,0.000180389325,-4.67427017e-05
2275,22.749980,-0.0177319292,-0.0113433991,9.81084347,0.0172633026,0.00338657945,9.80398178,-0.00146260927,0.00101306569,0.000260989909,-0.000722445664,0.000399354554,0.00039417544
2276,22.760001,-0.01720207,-0.00101486733,9.80775261,0.00768322358,0.00338657945,9.82074642,-0.000397344818,0.00101306569,-0.000804274518,-0.000899753883,0.000937979494,-0.00039549428
2277,22.770001,-0.0119690578,0.00202262169,9.81164932,0.0124732628,-0.00858851895,9.83032608,-0.000397344818,-5.21987458e-05,-0.00186953903,-0.000962662511,0.000401451194,-0.000554097234
