Index, Time     , (odometrySubsystem).z[0], (odometrySubsystem).z[1], (odometrySubsystem).z[2], (odometrySubsystem).z[3], (odometrySubsystem).z[4], (odometrySubsystem).z[5], (odometrySubsystem).z[6], (odometrySubsystem).z[7]
  368,  3.680002, -3.14921713             , -2.98134017             , -3.0971365              , -2.89767861             , -18.7191544             , -17.5518761             ,            13.607688    , -0.621052265
  369,  3.689983, -3.13204145             , -3.0068264              , -3.08550143             , -2.92427301             , -15.9449234             , -21.2927399             ,            13.6407118   , -0.481075287
  370,  3.700002, -3.13869023             , -3.00904274             , -3.08993387             , -2.94421864             , -15.4089832             , -24.5369797             ,            13.6737347   , -0.346085548
  371,  3.709984, -3.15032506             , -2.99519157             , -3.09381199             , -2.92205667             , -15.9314184             , -24.7739582             ,            13.6641474   , -0.201507092
  372,  3.720001, -3.15641999             , -2.99131298             , -3.0971365              , -2.92094874             , -10.5260496             , -26.4036694             ,            13.6694736   , -0.0623950958
  373,  3.729981, -3.14589262             , -3.04727197             , -3.11209559             , -2.94144845             , -2.51261163             , -23.643898              ,            13.7035618   , 0.0731710196
  374,  3.740001, -3.14090633             , -3.02621794             , -3.10987949             , -2.91153002             , 0.55646646              , -30.7586746             ,            13.7269974   , 0.212858796
  375,  3.749984, -3.14921713             , -2.98577261             , -3.10156894             , -2.93036771             , 1.40596247              , -32.9133759             ,            13.7088881   , 0.346508384
  376,  3.760001, -3.15531158             , -2.96471834             , -3.11320376             , -2.92316484             , 2.75947356              , -30.6465034             ,            13.7493687   , 0.481016517
  377,  3.769982, -3.17248702             , -2.98577261             , -3.1237309              , -2.97856998             , 10.4647131              , -22.4880943             ,            13.7738695   , 0.623486876
  378,  3.779999, -3.14700079             , -3.01236677             , -3.09824467             , -2.97192121             , 15.882287               , -20.9272423             ,            13.7845221   , 0.764036298
  379,  3.789979, -3.15364909             , -3.0334208              , -3.11431193             , -2.96471834             , 20.3738708              , -23.7533073             ,            13.8399162   , 0.903822303
  380,  3.799983, -3.14700079             , -3.07054186             , -3.1237309              , -2.99519157             , 19.4020252              , -24.4611073             ,            13.8505688   , 1.03325284
  381,  3.810004, -3.14367628             , -3.08217669             , -3.12151456             , -3.00571823             , 21.4275303              , -19.964407              ,            13.851634    , 1.17543423
  382,  3.819986, -3.1281631              , -3.10987949             , -3.11320376             , -3.00184011             , 23.2915878              , -11.3851261             ,            13.8803959   , 1.31138158
  383,  3.830009, -3.14589262             , -3.0910418              , -3.13093352             , -2.9940834              , 28.2813568              , -7.74827862             ,            13.9080925   , 1.45011187
  384,  3.839999, -3.12705517             , -3.03231263             , -3.14367628             , -2.99519157             , 30.8311901              , -9.07304096             ,            13.9198103   , 1.58548737
  385,  3.849978, -3.15752769             , -3.01236677             , -3.10655522             , -3.0217855              , 32.4371071              , -5.42775774             ,            13.9453773   , 1.71721697
  386,  3.860005, -3.17137909             , -3.05170441             , -3.11541986             , -3.03563714             , 26.1844292              , 0.584408104             ,            13.9698782   , 1.85383749
  387,  3.869986, -3.18079805             , -3.0600152              , -3.1237309              , -3.0312047              , 29.0927696              , 6.08003902              ,            13.9997053   , 1.99103022
  388,  3.880004, -3.19686556             , -3.08439302             , -3.13425779             , -3.04394746             , 27.2144241              , 9.80976009              ,            13.9922485   , 2.13388491
  389,  3.889989, -3.20850015             , -3.12594724             , -3.14589262             , -3.03452873             , 28.7151432              , 9.94117165              ,            14.0029011   , 2.2775979
